"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2020","AQS","040011235","1","0.8","ug/m3 LC","3","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/10/2020","AQS","040011235","1","1.1","ug/m3 LC","5","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/16/2020","AQS","040011235","1","0.7","ug/m3 LC","3","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/22/2020","AQS","040011235","1","0.9","ug/m3 LC","4","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/28/2020","AQS","040011235","1","0.8","ug/m3 LC","3","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"02/03/2020","AQS","040011235","1","1.8","ug/m3 LC","8","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"02/09/2020","AQS","040011235","1","1.5","ug/m3 LC","6","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"02/15/2020","AQS","040011235","1","1.2","ug/m3 LC","5","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"02/21/2020","AQS","040011235","1","2.2","ug/m3 LC","9","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"02/27/2020","AQS","040011235","1","0.9","ug/m3 LC","4","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/04/2020","AQS","040011235","2","0.7","ug/m3 LC","3","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/10/2020","AQS","040011235","2","1.2","ug/m3 LC","5","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/16/2020","AQS","040011235","2","0.7","ug/m3 LC","3","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/22/2020","AQS","040011235","2","1","ug/m3 LC","4","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/28/2020","AQS","040011235","2","0.6","ug/m3 LC","3","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"02/03/2020","AQS","040011235","2","2.1","ug/m3 LC","9","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"02/09/2020","AQS","040011235","2","1.2","ug/m3 LC","5","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"02/15/2020","AQS","040011235","2","1.2","ug/m3 LC","5","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"02/21/2020","AQS","040011235","2","2.6","ug/m3 LC","11","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"02/27/2020","AQS","040011235","2","1.1","ug/m3 LC","5","Nazlini","1","100.0000","88101","PM2.5 - Local Conditions","","","04","Arizona","001","Apache","35.8804038106536","-109.438003185736"
"01/01/2020","AirNow","040031005","3","4.1","ug/m3 LC","17","DOUGLAS RED CROSS","1","100.0000","88101","PM2.5 - Local Conditions","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","31.3492","-109.539683"
"01/02/2020","AirNow","040031005","3","2.9","ug/m3 LC","12","DOUGLAS RED CROSS","1","100.0000","88101","PM2.5 - Local Conditions","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","31.3492","-109.539683"
"01/03/2020","AirNow","040031005","3","5.2","ug/m3 LC","22","DOUGLAS RED CROSS","1","100.0000","88101","PM2.5 - Local Conditions","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","31.3492","-109.539683"
